"112年09月 2609 陽明             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/09/01","9,324,670","394,133,487","42.40","42.55","42.10","42.10","-0.15","5,577",
"112/09/04","16,310,912","698,173,268","42.20","43.20","42.10","42.90","+0.80","8,972",
"112/09/05","13,592,916","585,756,073","43.20","43.45","42.75","43.30","+0.40","7,733",
"112/09/06","11,051,916","473,386,648","43.35","43.40","42.60","42.60","-0.70","7,008",
"112/09/07","6,569,743","279,855,886","42.60","42.80","42.45","42.50","-0.10","4,498",
"112/09/08","10,706,221","458,557,662","42.55","43.05","42.55","42.65","+0.15","6,912",
"112/09/11","13,986,033","597,651,636","42.95","43.10","42.40","42.50","-0.15","7,559",
"112/09/12","10,995,153","472,632,094","42.70","43.15","42.65","43.10","+0.60","6,382",
"112/09/13","10,924,827","471,290,878","43.30","43.30","42.90","43.30","+0.20","6,032",
"112/09/14","29,354,865","1,299,733,351","43.50","44.60","43.50","44.60","+1.30","17,019",
"112/09/15","128,229,210","5,955,249,104","45.00","47.45","44.95","46.45","+1.85","53,450",
"112/09/18","35,125,273","1,606,987,776","46.15","46.40","45.05","45.50","-0.95","17,956",
"112/09/19","18,861,381","861,724,727","45.95","46.20","45.15","45.85","+0.35","10,459",
"112/09/20","31,957,292","1,490,240,850","46.15","47.30","46.10","46.30","+0.45","17,034",
"112/09/21","19,462,993","889,466,386","46.00","46.25","45.25","45.60","-0.70","10,955",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

